日付,時間,測定回数,装置id,温度,湿度,light(ルクス),電圧
2004-03-10,00:00:00.874763,31564,33,22.4188,43.3191,101.2,2.60491
2004-03-10,00:00:00.910397,31564,17,22.6834,44.4488,43.24,2.50599
2004-03-10,00:00:01.270375,31564,40,22.654,44.0176,165.6,2.59354
2004-03-10,00:00:02.463598,31564,19,23.0068,42.7519,75.44,2.58226
2004-03-10,00:00:02.510406,31564,4,22.4286,44.3825,60.72,2.53812
2004-03-10,00:00:02.510601,31564,9,21.6642,46.2953,1.38,2.63964
2004-03-10,00:00:03.38266,31564,47,22.4286,45.1763,114.08,2.58226
2004-03-10,00:00:03.450445,31564,25,22.997,41.7805,101.2,2.59354
2004-03-10,00:00:03.969723,31564,1,22.1052,43.5855,39.56,2.59354
2004-03-10,00:00:04.010517,31564,34,22.066,44.8129,64.4,2.58226
2004-03-10,00:00:04.570491,31564,49,21.8014,45.1103,48.76,2.58226
2004-03-10,00:00:05.63052,31564,46,22.4384,44.4488,60.72,2.42416
2004-03-10,00:00:05.880514,31564,24,23.3106,41.0404,150.88,2.60491
2004-03-10,00:00:06.470531,31564,7,21.9876,44.8129,8.28,2.58226
2004-03-10,00:00:06.955886,31564,45,22.6246,43.2858,101.2,2.59354
2004-03-10,00:00:07.172485,31564,18,122.153,-3.91901,71.76,2.31097
2004-03-10,00:00:07.705567,31564,3,22.2914,44.0508,35.88,2.59354
2004-03-10,00:00:08.206046,31564,50,21.4976,46.9505,34.04,2.58226
2004-03-10,00:00:08.385743,31564,22,23.0166,41.9483,93.84,2.52732
2004-03-10,00:00:09.040625,31564,51,22.3306,44.6806,57.04,2.59354
2004-03-10,00:00:10.610698,31564,36,22.3208,45.934,60.72,2.58226
2004-03-10,00:00:11.463389,31564,21,23.438,40.9055,114.08,2.58226
2004-03-10,00:00:11.570686,31564,44,22.409,44.1172,79.12,2.59354
2004-03-10,00:00:12.125715,31564,41,22.556,43.7186,338.56,2.58226
2004-03-10,00:00:12.742696,31564,29,22.8892,42.685,195.04,2.59354
2004-03-10,00:00:13.922534,31564,27,23.2028,42.183,75.44,2.59354
2004-03-10,00:00:28.728461,31565,36,22.3306,45.7037,60.72,2.58226
2004-03-10,00:00:28.764394,31565,29,22.899,42.685,195.04,2.59354
2004-03-10,00:00:29.795016,31565,33,22.409,43.3525,101.2,2.60491
2004-03-10,00:00:29.835952,31565,20,22.7618,44.7798,28.52,2.59354
2004-03-10,00:00:30.23713,31565,51,22.3306,44.6475,57.04,2.59354
2004-03-10,00:00:30.700703,31565,31,22.4286,44.3494,158.24,2.58226
2004-03-10,00:00:30.817131,31565,25,22.997,41.814,101.2,2.59354
2004-03-10,00:00:31.216539,31565,47,22.4286,45.1763,114.08,2.59354
2004-03-10,00:00:31.77644,31565,14,22.0464,45.3413,28.52,2.60491
2004-03-10,00:00:31.87852,31565,7,21.9876,44.7467,8.28,2.59354
2004-03-10,00:00:32.208247,31565,45,22.6148,43.3191,101.2,2.59354
2004-03-10,00:00:32.498211,31565,22,23.0264,41.7805,93.84,2.51661
2004-03-10,00:00:32.596443,31565,2,22.5364,43.6853,108.56,2.57108
2004-03-10,00:00:32.998685,31565,8,21.6348,44.9121,0.92,2.58226
2004-03-10,00:00:33.501768,31565,32,22.017,44.9782,114.08,2.58226
2004-03-10,00:00:34.234856,31565,49,21.7916,45.1103,48.76,2.57108
2004-03-10,00:00:34.597359,31565,3,22.3012,43.918,35.88,2.59354
2004-03-10,00:00:34.971663,31565,39,23.0068,43.7186,165.6,2.60491
2004-03-10,00:00:34.977448,31565,40,22.654,43.9512,165.6,2.59354
2004-03-10,00:00:35.665873,31565,6,22.0464,44.4488,11.04,2.56
2004-03-10,00:00:35.966404,31565,21,23.4282,41.0067,114.08,2.59354
2004-03-10,00:00:36.011546,31565,30,22.3306,44.6475,121.44,2.59354
2004-03-10,00:00:36.806975,31565,42,22.3796,44.1504,224.48,2.59354
2004-03-10,00:00:36.937127,31565,26,22.654,44.1172,114.08,2.59354
2004-03-10,00:00:37.451605,31565,11,21.9582,46.0655,1.38,2.56
2004-03-10,00:00:37.770683,31565,48,22.3502,44.7467,46.92,2.60491
2004-03-10,00:00:38.001752,31565,38,22.3404,44.1504,202.4,2.57108
2004-03-10,00:00:38.820141,31565,53,21.0664,48.676,3.68,2.58226
2004-03-10,00:00:38.821055,31565,9,21.6642,46.2953,1.38,2.63964
2004-03-10,00:00:39.751681,31565,18,122.153,-3.91901,68.08,2.31097
2004-03-10,00:00:39.794791,31565,37,22.9578,45.5061,195.04,2.59354
2004-03-10,00:00:40.551695,31565,4,22.4286,44.3825,60.72,2.53812
2004-03-10,00:00:40.778962,31565,23,23.4772,41.0741,209.76,2.58226
2004-03-10,00:00:41.020414,31565,41,22.5364,43.7518,323.84,2.58226
2004-03-10,00:00:42.067924,31565,44,22.3992,44.1172,79.12,2.59354
2004-03-10,00:00:42.851815,31565,24,23.3106,41.0741,150.88,2.60491
2004-03-10,00:00:43.851885,31565,46,22.4384,44.4157,60.72,2.42416
2004-03-10,00:00:58.697337,31566,32,22.017,44.9121,114.08,2.58226
2004-03-10,00:00:58.735227,31566,31,22.4188,44.3162,158.24,2.59354
2004-03-10,00:00:58.889768,31566,4,22.4188,44.3494,60.72,2.54901
2004-03-10,00:00:59.825427,31566,49,21.8014,45.1433,46.92,2.58226
2004-03-10,00:00:59.987086,31566,20,22.7716,44.7467,28.52,2.60491
2004-03-10,00:01:00.6624,31566,3,22.3012,43.9844,35.88,2.59354
2004-03-10,00:01:01.007525,31566,29,22.899,42.685,195.04,2.59354
2004-03-10,00:01:01.862406,31566,50,21.5172,46.9505,34.04,2.59354
2004-03-10,00:01:02.409561,31566,11,21.9288,46.0655,1.38,2.57108
2004-03-10,00:01:02.753586,31566,36,22.36,45.9011,60.72,2.58226
2004-03-10,00:01:03.064425,31566,23,23.487,41.1078,209.76,2.59354
2004-03-10,00:01:04.063778,31566,48,22.3306,44.7467,46.92,2.59354
2004-03-10,00:01:04.481737,31566,27,23.193,42.1495,75.44,2.59354
2004-03-10,00:01:05.286871,31566,22,23.0068,41.814,93.84,2.51661
2004-03-10,00:01:05.336038,31566,44,22.3992,44.1172,79.12,2.59354
2004-03-10,00:01:06.281279,31566,38,22.3502,44.1172,202.4,2.57108
2004-03-10,00:01:06.387823,31566,25,22.997,41.8476,101.2,2.59354
2004-03-10,00:01:06.528351,31566,33,22.409,43.3191,101.2,2.60491
2004-03-10,00:01:07.335492,31567,16,21.8504,46.7542,18.4,2.54901
2004-03-10,00:01:07.678029,31566,2,22.5364,43.5522,108.56,2.57108
